LNG,LAT,X,Y,crashYear,holidayNew,region,policeDistrict,areaUnitID,crashLocation1,weatherA,vehicleType,light,roadSurface,roadType,speedLimit,pedestrian,minorInjuryCount,fatalCount,severeOrFatal
176.8724113,-39.59423334,1932544,5610109,2017,not holiday,Hawke's Bay Region,Eastern,545832,PAKOWHAI ROAD,Fine,car,Bright sun,Sealed,Arterial Road,80,NA,0,0,TRUE
174.9506167,-37.09993656,1773340,5892261,2007,not holiday,Auckland Region,Counties Manukau,521301,GREAT SOUTH ROAD,Fine,motorcycle,Bright sun,Sealed,Urban Road,50,NA,0,0,TRUE
174.7737664,-36.90547845,1758025,5914144,2006,not holiday,Auckland Region,Counties Manukau,518600,GOODLAND ST,Fine,car,Bright sun,Sealed,Urban Road,50,NA,0,0,TRUE
174.7458717,-37.21589111,1754907,5879750,2002,not holiday,Auckland Region,Counties Manukau,521152,GLENBROOK-WAIUKU ROAD,Light rain,car,Dark,Sealed,Highway,100,NA,0,0,TRUE
174.5658727,-36.92378739,1739469,5912437,2019,not holiday,Auckland Region,Counties Manukau,513020,SCENIC DR (TITIRANGI),Fine,car,Dark,Sealed,Arterial Road,80,1,0,0,TRUE
175.0503685,-36.79350902,1782937,5926073,2005,not holiday,Auckland Region,Counties Manukau,520801,SEA VIEW ROAD,Fine,car,Dark,Sealed,Urban Road,50,NA,0,0,TRUE
172.8196904,-41.26248746,1584896,5432088,2019,not holiday,Tasman Region,Tasman,581833,BATON VALLEY ROAD,Fine,car,Twilight,Unsealed,Urban Road,50,NA,1,0,TRUE
174.6120373,-36.85446811,1743711,5920059,2002,not holiday,Auckland Region,Counties Manukau,513632,DON BUCK ROAD,Fine,car,Dark,Sealed,Urban Road,50,1,0,0,TRUE
174.786447,-41.27015071,1749631,5429714,2015,not holiday,Wellington Region,Wellington,572900,AOTEA QUAY,Fine,motorcycle,Dark,Sealed,Arterial Road,70,NA,0,0,TRUE
175.438388,-40.49084704,1806652,5514905,2014,not holiday,Manawatū-Whanganui Region,Central,563802,SH 56,Fine,car,Dark,Sealed,Highway,100,NA,2,0,TRUE
174.8914836,-36.95157605,1768412,5908828,2001,Christmas New Year,Auckland Region,Counties Manukau,523502,SPRINGS ROAD,Light rain,car,Twilight,Sealed,Arterial Road,70,NA,0,0,TRUE
174.7717122,-41.25194962,1748438,5431760,2001,not holiday,Wellington Region,Wellington,574402,WAIKOWHAI ST,Fine,car,Overcast,Sealed,Urban Road,50,NA,2,0,TRUE
174.0322949,-39.0653083,1689307,5675469,2004,not holiday,Taranaki Region,Central,551400,NGAMOTU ROAD,Fine,car,Dark,Sealed,Urban Road,50,1,0,0,TRUE
176.2231864,-38.1423289,1882475,5773483,2005,not holiday,Bay of Plenty Region,Bay of Plenty,539600,FORD ROAD,Fine,car,Bright sun,Sealed,Urban Road,50,1,0,0,TRUE
173.7848052,-35.42642069,1671242,6079384,2005,not holiday,Northland Region,Northland,501634,SH 12,Fine,car,Bright sun,Sealed,Highway,100,NA,1,1,TRUE
174.8271785,-41.14791275,1753328,5443214,2016,not holiday,Wellington Region,Wellington,570800,BROKEN HILL ROAD,Fine,car,Overcast,Sealed,Urban Road,50,NA,0,0,TRUE
174.3519818,-35.70090968,1722313,6048382,2006,not holiday,Northland Region,Northland,502004,WHAREORA ROAD,Fine,motorcycle,Bright sun,Sealed,Highway,100,NA,0,0,TRUE
172.4492473,-43.43909753,1555430,5190275,2020,not holiday,Canterbury Region,Canterbury,586603,OFFROAD - TWO CHAIN ROAD,Fine,car,Dark,Unsealed,Highway,100,NA,0,0,TRUE
175.8631761,-37.41167637,1853402,5855609,2007,not holiday,Waikato Region,Waikato,534200,SH 2,Fine,car,Dark,Sealed,Highway,100,NA,0,2,TRUE
169.7428344,-46.24251534,1348900,4873849,2007,Queens Birthday,Otago Region,Southern,607400,GLASGOW ST,Fine,car,Dark,Unsealed,Urban Road,50,NA,0,0,TRUE
168.4164256,-46.38068125,1247543,4853438,2010,not holiday,Southland Region,Southern,610062,MILL ROAD NORTH,Fine,bicycle,Overcast,Sealed,Highway,100,NA,0,0,TRUE
174.7338703,-36.91854211,1754444,5912760,2003,not holiday,Auckland Region,Counties Manukau,518901,RICHARDSON ROAD,Fine,car,Dark,Sealed,Urban Road,50,1,0,0,TRUE
175.2678623,-40.55798859,1792007,5507837,2001,not holiday,Manawatū-Whanganui Region,Central,564021,SH 1N,Fine,car,Dark,Sealed,Highway,100,NA,1,0,TRUE
175.8159204,-37.09474708,1850266,5890906,2021,not holiday,Waikato Region,Waikato,533603,TAIRUA ROAD,Heavy rain,car,Overcast,Sealed,Highway,100,NA,1,0,TRUE
174.629468,-38.65315959,1741789,5720452,2006,not holiday,Waikato Region,Waikato,531710,SH 3,Fine,truck,Dark,Sealed,Highway,100,NA,0,0,TRUE
174.7833634,-41.27528762,1749361,5429149,2012,not holiday,Wellington Region,Wellington,572900,THORNDON QUAY,Fine,car,Bright sun,Sealed,Urban Road,50,NA,0,0,TRUE
172.5133256,-43.33171283,1560546,5202233,2021,not holiday,Canterbury Region,Canterbury,586121,SWANNANOA ROAD,Fine,car,Twilight,Sealed,Highway,100,NA,0,0,TRUE
171.740624,-43.9089229,1498876,5137472,2011,not holiday,Canterbury Region,Canterbury,597840,SH 1S,Fine,motorcycle,Bright sun,Sealed,Urban Road,50,NA,0,0,TRUE
174.8436363,-36.94058457,1764175,5910131,2007,not holiday,Auckland Region,Counties Manukau,521801,ATKINSON AVENUE,Fine,car,Overcast,Sealed,Urban Road,50,NA,0,0,TRUE
173.7513202,-42.31184273,1661918,5315326,2002,not holiday,Canterbury Region,Canterbury,581500,SH 1S,Light rain,car,Dark,Sealed,Highway,100,NA,1,1,TRUE
175.6759396,-40.95155712,1825227,5463172,2002,not holiday,Wellington Region,Wellington,579200,COLOMBO ROAD,Fine,car,Twilight,Sealed,Urban Road,50,NA,0,0,TRUE
174.8224117,-36.90935681,1762351,5913632,2009,not holiday,Auckland Region,Counties Manukau,520402,PORTMAN ROAD,Fine,car,Bright sun,Sealed,Urban Road,50,1,0,0,TRUE
175.9364367,-37.46724878,1859695,5849242,2005,not holiday,Bay of Plenty Region,Bay of Plenty,536614,SH 2,Fine,car,Bright sun,Sealed,Highway,100,NA,3,0,TRUE
174.0188201,-41.28482835,1685315,5429123,2001,not holiday,Marlborough Region,Tasman,581100,Z DWAY 124,Light rain,car,Dark,Sealed,Urban Road,50,1,0,0,TRUE
174.9634046,-40.97552067,1765191,5462104,2005,not holiday,Wellington Region,Wellington,566200,Z PAEKAKARIKI HOLIDAY PRK,Fine,car,Dark,Unsealed,Urban Road,50,1,0,0,TRUE
174.6920625,-36.79017943,1750972,5927068,2019,not holiday,Auckland Region,Counties Manukau,510010,BEACH HAVEN ROAD,Fine,car,Dark,Sealed,Urban Road,50,NA,1,0,TRUE
177.0620364,-38.01603143,1956631,5784613,2001,not holiday,Bay of Plenty Region,Bay of Plenty,542562,WAINUI ROAD,Light rain,car,Dark,Sealed,Highway,100,NA,1,1,TRUE
175.2740171,-37.7399134,1800369,5820607,2012,not holiday,Waikato Region,Waikato,527009,HUKANUI ROAD,Fine,car,Overcast,Sealed,Urban Road,50,NA,1,0,TRUE
174.5650226,-36.8541411,1739520,5920165,2015,not holiday,Auckland Region,Counties Manukau,513702,MCENTEE ROAD,Fine,car,Bright sun,Sealed,Arterial Road,80,NA,0,1,TRUE
175.6051845,-40.35663948,1821229,5529400,2006,not holiday,Manawatū-Whanganui Region,Central,562800,PITT ST,Light rain,car,Dark,Sealed,Urban Road,50,NA,2,0,TRUE
168.6015439,-46.31026009,1261341,4862071,2002,not holiday,Southland Region,Southern,610061,SH 98,Heavy rain,truck,Dark,Sealed,Highway,100,NA,0,1,TRUE
173.137585,-35.17547029,1612528,6107489,2009,not holiday,Northland Region,Northland,500205,FORESHORE ROAD,Fine,car,Bright sun,Sealed,Urban Road,50,NA,5,0,TRUE
174.7757759,-36.81487259,1758391,5924193,2013,not holiday,Auckland Region,Counties Manukau,508120,BAYSWATER AVENUE,Fine,motorcycle,Dark,Sealed,Urban Road,50,NA,0,0,TRUE
174.7313572,-36.86843705,1754321,5918323,2000,not holiday,Auckland Region,Counties Manukau,515432,SH 16,Fine,car,Dark,Sealed,Highway,100,NA,0,0,TRUE
174.9004127,-36.90007651,1769321,5914526,2009,not holiday,Auckland Region,Counties Manukau,522721,PAKURANGA ROAD,Light rain,car,Dark,Sealed,Arterial Road,60,NA,0,0,TRUE
174.7316459,-36.91300428,1754257,5913378,2007,not holiday,Auckland Region,Counties Manukau,518802,MAY ROAD,Fine,car,Twilight,Sealed,Urban Road,50,NA,1,0,TRUE
176.9063705,-39.47946855,1936015,5622725,2000,not holiday,Hawke's Bay Region,Eastern,546200,SH 50,Fine,truck,Bright sun,Sealed,Urban Road,50,1,0,1,TRUE
174.8678579,-36.96409086,1766281,5907481,2011,not holiday,Auckland Region,Counties Manukau,522302,SH 1N,Light rain,car,Dark,Sealed,Highway,100,1,0,0,TRUE
175.3933995,-37.78025305,1810775,5815868,2002,not holiday,Waikato Region,Waikato,527125,SH 26,Fine,car,Overcast,Sealed,Highway,100,NA,0,0,TRUE
172.5240539,-43.54339697,1561550,5178729,2016,not holiday,Canterbury Region,Canterbury,587400,SH 1S MAIN SOUTH ROAD,Fine,car,Bright sun,Sealed,Urban Road,50,1,0,0,TRUE
175.242465,-37.79834508,1797433,5814190,2018,not holiday,Waikato Region,Waikato,528602,BREMWORTH AVENUE,Fine,motorcycle,Overcast,Sealed,Urban Road,50,NA,0,0,TRUE
174.4548096,-35.93105214,1731237,6022721,2004,not holiday,Northland Region,Northland,501815,SH 1N,Fine,truck,Bright sun,Sealed,Highway,100,NA,1,0,TRUE
